N;Name;Work;Scopus;Wos
247;Левина Елена Михайловна;Технологии и оборудование машиностроения (Доцент, к.н.), 0.6;36156157200;ABF-1500-2022
248;Левина Татьяна Анатольевна;Стандартизация, метрология и сертификация (Заведующий кафедрой, к.н.), 1;56328021300;
249;Лемешко Татьяна Владимировна;Иллюстрация и эстамп (Доцент, к.н.), 1;0000-0003-1472-5048;
250;Лепешкин Александр Владимирович;Промышленная теплоэнергетика (Профессор, к.н.), 0.5;6505813810;
251;Ливсон Майя Владимировна;Экономика и организация (Доцент, к.н.), 1;57202905965;M-7477-2015
252;Лисовская Татьяна Александровна;Автоматика и управление (Старший преподаватель), 0.5;57196036327;
253;Лисовский Юрий Эдуардович;Рисунок и живопись (Доцент), 0.75;;B-3521-2018
254;Лобанова Юлия Владимировна;Гуманитарные дисциплины (Заведующий кафедрой, к.н.), 1;57353009800;T-1465-2017
255;Логачёв Максим Сергеевич;Инфокогнитивные технологии (Доцент, к.н.), 1;57218769441;N-5353-2015
256;Лукьяненко Елена Владимировна;Материаловедение (Доцент, к.н.), 0.5;57190493637;H-2473-2019
257;Лукьянов Михаил Николаевич;Динамика, прочность машин и сопротивление материалов (Доцент), 1;6508153527;AAF-3422-2020
258;Лушин Кирилл Игоревич;Факультет урбанистики и городского хозяйства (Декан факультета, к.н.), 1;16175386200;F-2999-2015
259;Мазур Владимир Владимирович;Менеджмент (Старший преподаватель), 1;57190409484;
260;Макаренков Дмитрий Анатольевич;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Профессор, д.н.), 0.1;8226460200;AAQ-2068-2020
261;Макарова Элина Владимировна;Физическое воспитание (Профессор, д.н.), 1;58291071000;GRX-4037-2022
262;Маклаков Александр Сергеевич;Сектор научной деятельности (Доцент, к.н.), 0.25;56511556300;K-1365-2015
263;Маковей Сергей Олегович;;58115700100;JRY-4772-2023
264;Максимов Юрий Викторович;Технологии и оборудование машиностроения (Профессор, д.н.), 0.4;57216801587;
265;Малахов Александр Владимирович;Стандартизация, метрология и сертификация (Доцент, к.н.), 0.25;58036826500;HJY-8395-2023
266;Малеев Руслан Алексеевич;Электрооборудование и промышленная электроника (Профессор, к.н.), 0.75;9250353300;
267;Малкаров Артем Юрьевич;;57771972100;JDD-8012-2023
268;Маляров Аркадий Ильич;Машины и технологии литейного производства (Профессор, к.н.), 0.5;0;0
269;Мамаев Алексей Николаевич;Техническая механика и компьютерное моделирование (Профессор, к.н.), 0.5;57205454317;AAH-4355-2021
270;Манаенков Игорь Владиславович;Технологии и оборудование машиностроения (Доцент, к.н.), 0.8;57197728732;
271;Марюшин Леонид Александрович;Промышленная теплоэнергетика (Заведующий кафедрой, к.н.), 1;6506319167;
272;Матросова Владлена Валентиновна;Автоматика и управление (Старший преподаватель), 1;57215596465;B-5245-2017
273;Мерзляков Виктор Георгиевич;Техника и технология горного и нефтегазового производства (Профессор, д.н.), 0.25;7006783032;ш-1824-2017
274;Мещангина Елена Ивановна;Центр проектной деятельности (Доцент, к.н.), 0.25;0000-0002-1212-2393;
275;Мжельская Елена Львовна;Издательское дело и книговедение (Доцент, к.н.), 0.5;57222090061;HMV-6572-2023
276;Милович Филипп Олегович;Сектор научной деятельности (Доцент, к.н.), 0.25;54953308600;AAT-4344-2020
277;Мироненко Надежда Сергеевна;Управление персоналом (Старший преподаватель), 0.5;57195327902;AAQ-9373-2021
278;Митрякова Ольга Леонидовна;Технологии и управление качеством в полиграфическом и упаковочном производстве (Доцент, к.н.), 0.75;0000-0002-7982-1252;
279;Молодцова Варвара Алексеевна;Иностранные языки (Старший преподаватель), 1;57206841157;
280;Моргунов Юрий Алексеевич;Факультет базовых компетенций (Декан факультета, к.н.), 1;57189241306;AAI-1723-2019
281;Морозова Ольга Ивановна;Центр проектной деятельности (Доцент, к.н.), 0.5;57223182721;Ф-3525-2018
282;Мохначев Виктор Сергеевич;Инфокогнитивные технологии (Ассистент), 0.5;57221084994;ABC-2477-2022
283;Мошин Андрей Алексеевич;Техника низких температур имени П.Л.Капицы (Ассистент), 0.25;57223112617;ACG-8971-2022
284;Муханов Сергей Александрович;Математика (Доцент, к.н.), 1;57204527190;AAG-8414-2020
285;Набебин Алексей Александрович;Инфокогнитивные технологии (Доцент, к.н.), 0.5;16504575300;L-2546-2015
286;Нагорнова Ирина Викторовна;Полиграфический институт (Директор института, к.н.), 1;57188666497;AAA-2989-2020
287;Назаренко Антон Владимирович;Факультет экономики и управления (Декан факультета, д.н.), 1;56583784500;C-6428-2013
288;Назаров Виктор Геннадьевич;Инновационные материалы принтмедиаиндустрии (Профессор, д.н.), 0.1;7202662388;B-2274-2014
289;Наянов Евгений Александрович;Управление персоналом (Старший преподаватель), 0.75;57219026849;AAW-8378-2021
290;Недогарок Антон Александрович;Информационная безопасность (Старший преподаватель), 0.5;57208707493;AAI-1612-2020
291;Некрасов Дмитрий Анатольевич;Техника низких температур имени П.Л.Капицы (Заведующий кафедрой, к.н.), 1;17434923700;U-5178-2019
292;Нефедов Сергей Владимирович;СМАРТ-технологии (Доцент), 0.25;57209800062;G-4369-2014
293;Николаев Александр Африканович;Инновационные материалы принтмедиаиндустрии (Преподаватель), 0.1;57224628186;AHB-3757-2022
294;Николаев Владимир Константинович;;56747273500;
295;Николайкина Наталья Евгеньевна;ХимБиотех (Профессор, к.н.), 0.5;6504419601;
296;Никольский Владимир Святославович;Центр проектной деятельности (Профессор, д.н.), 1;57883936000;
297;Носкова Василиса Евгеньевна;Центр проектной деятельности (Ассистент), 1;58947066400;
298;Овчинников Виктор Васильевич;Материаловедение (Заведующий кафедрой, д.н.), 1;57021083300;H-2490-2019
299;Одиноков Сергей Анатольевич;Стандартизация, метрология и сертификация (Профессор, д.н.), 0.2;57192594021;
300;Одинцев Игорь Николаевич;Динамика, прочность машин и сопротивление материалов (Доцент, к.н.), 0.5;6507859987;
301;Орлова Елена Юрьевна;Полиграфические системы (Доцент, к.н.), 0.9;57204461688;AAE-1465-2021
302;Осадченко Анна Владимировна;Математика (Ассистент), 0.25;57439684100;
303;Осипов Николай Леонидович;Динамика, прочность машин и сопротивление материалов (Доцент, к.н.), 0.5;57209723260;
304;Островская Ольга Игоревна;Экономика и организация (Доцент, к.н.), 0.75;57199262029;
305;Оськин Святослав Павлович;Автоматика и управление (Доцент, к.н.), 0.5;57223101922;
306;Отц Екатерина Викторовна;Гуманитарные дисциплины (Доцент, к.н.), 0.25;57352674200;AFO-7265-2022
307;Палагута Константин Алексеевич;Автоматика и управление (Доцент, к.н.), 0.5;6507236465;
308;Панкратов Сергей Николаевич;Машины и технологии литейного производства (Старший преподаватель), 0.5;;AAB-8880-2022
309;Панова Елена Павловна;Гуманитарные дисциплины (Доцент, к.н.), 0.5;57219895412;AAQ-4673-2021
310;Панова Наталия Алексеевна;Информатика и информационные технологии (Доцент, к.н.), 1;;M-7481-2015
311;Парфеньева Ирина Евгеньевна;Стандартизация, метрология и сертификация (Доцент, к.н.), 1;;AAH-1827-2020
312;Паршина Светлана Алексеевна;Технологии и оборудование машиностроения (Доцент, к.н.), 0.6;36156176600;AAE-7475-2020
313;Перминов Сергей Владимирович;Физическое воспитание (Старший преподаватель), 1;0009-0003-9140-0770;
314;Петергова Ангелина Васильевна;Менеджмент (Доцент, к.н.), 0.75;;AAG-9001-2020
315;Петракова Екатерина Алексеевна;Техническая механика и компьютерное моделирование (Доцент, к.н.), 0.5;57209776211;AAY-2317-2020
316;Петров Александр Николаевич;Обработка материалов давлением и аддитивные технологии (Профессор, д.н.), 0.5;56902165300;AAO-7974-2020
317;Петров Владимир Кириллович;Техническая механика и компьютерное моделирование (Доцент, к.н.), 1;57194715118;AAF-6076-2021
318;Петров Михаил Александрович;Обработка материалов давлением и аддитивные технологии (Доцент, к.н.), 1;8980725400;C-5204-2014
319;Петров Павел Александрович;Обработка материалов давлением и аддитивные технологии (Доцент, к.н.), 0.5;7202664146;A-8443-2011
320;Петрунина Елена Валерьевна;СМАРТ-технологии (Заведующий кафедрой, к.н.), 1;57205163107;AFT-4369-2022
321;Петухов Сергей Леонидович;Технологии и оборудование машиностроения (Доцент, к.н.), 0.4;56976749500;
322;Пикалов Евгений Викторович;Автоматика и управление (Старший преподаватель), 1;57224573984;
323;Пиков Виталий Александрович;Информационная безопасность (Старший преподаватель), 0.5;58115636800;JGD-8908-2023
324;Пикулин Юрий Георгиевич;Процессы и аппараты химической технологии (Доцент, к.н.), 0.5;6508077496;AAH-2283-2020
325;Пирогова Ольга Владимировна;Процессы и аппараты химической технологии (Доцент, к.н.), 1;8867089600;B-9586-2017
326;Пирожков Виталий Анатольевич;Динамика, прочность машин и сопротивление материалов (Доцент, к.н.), 0.5;12787335600;
327;Пителинский Кирилл Владимирович;Информационная безопасность (Доцент, к.н.), 1;57216807744;AAH-5922-2020
328;Питрюк Анастасия Валерьевна;Экологическая безопасность технических систем (Доцент, к.н.), 1;9038292900;C-9873-2019
329;Плешаков Александр Александрович;Физическое воспитание (Заведующий кафедрой, к.н.), 1;57204951466;
330;Плоткин Александр Сергеевич;Информационная безопасность (Преподаватель), 0.5;;HSG-4148-2023
331;Плужникова Наталья Николаевна;Гуманитарные дисциплины (Доцент, к.н.), 1;56073390700;ADK-0723-2022
332;Подобаев Александр Николаевич;ХимБиотех (Профессор, д.н.), 0.25;55946786800;
333;Поздняков Максим Владимирович;Гуманитарные дисциплины (Доцент, к.н.), 1;;GLS-3369-2022
334;Полевой Георгий Георгиевич;Физическое воспитание (Доцент, к.н.), 0.5;57204190389;M-2155-2016
335;Полякова Надежда Сергеевна;;58405302300;B-9587-2017
336;Полякова Татьяна Владимировна;Иностранные языки (Доцент, к.н.), 1;57221205618;AFR-9130-2022
337;Прояненкова Лидия Алексеевна;Инфокогнитивные технологии (Профессор, д.н.), 0.5;нет;нет
338;Пулькова Наталья Владимировна;Инфокогнитивные технологии (Доцент, к.н.), 0.25;55326788400;E-3123-2014
339;Пуляев Иван Сергеевич;Промышленное и гражданское строительство (Заведующий кафедрой, к.н.), 1;57205217324;HME-0028-2023
340;Пухова Екатерина Александровна;Инфокогнитивные технологии (Заведующий кафедрой, к.н.), 1;57221206218;M-9340-2015
341;Пшехотская Екатерина Александровна;Инфокогнитивные технологии (Доцент, к.н.), 0.25;57201730348;GQY-4910-2022
342;Пшонкин Данила Евгеньевич;Динамика, прочность машин и сопротивление материалов (Старший преподаватель, к.н.), 0.5;57192077199;AAZ-6685-2021
343;Раджабов Закир Рамазанович;Математика (Старший преподаватель), 1;57219179791;A-7128-2015
344;Радионов Андрей Александрович;Автоматика и управление (Заведующий кафедрой, д.н.), 1;6701841785;AHE-1652-2022
345;Радионова Людмила Владимировна;Металлургия (Доцент, к.н.), 0.5;57170512000;К-2444-2015
346;Распопова Светлана Сергеевна;Журналистика и массовые коммуникации имени М.Ф. Ненашева (Профессор, д.н.), 1;;AAY-4493-2020
347;Рачков Михаил Юрьевич;Автоматика и управление (Профессор, д.н.), 0.5;6602166808;J-3916-2013
348;Рекус Ирина Григорьевна;Инновационные материалы принтмедиаиндустрии (Доцент, к.н.), 1;57222240864;M-5906-2015
349;Речинский Владислав Алексеевич;Инфокогнитивные технологии (Ассистент), 1;58194305300;
350;Рогожкин Василий Алексеевич;Гуманитарные дисциплины (Доцент, к.н.), 0.75;57304149700;ABE-7832-2021
351;Розгачева Ирина Кирилловна;Математика (Доцент, к.н.), 0.5;6507748519;ABH-1343-2021
352;Рудяк Юрий Владимирович;Информатика и информационные технологии (Профессор, д.н.), 1;57193952444;B-1082-2016
353;Рыбакова Маргарита Рушановна;Динамика, прочность машин и сопротивление материалов (Доцент), 1;57197773520;AAF-3546-2020
354;Рытиков Георгий Олегович;Инновационные материалы принтмедиаиндустрии (Заведующий кафедрой, к.н.), 1;6508055625;J-7097-2014
355;Рябчикова Анна Валерьевна;Информатика и информационные технологии (Преподаватель), 1;57397286300;
356;Рязанцева Анна Владимировна;Промышленная теплоэнергетика (Доцент, к.н.), 1;57216811772;AAX-9863-2021
357;Сабадош Павел Александрович;СМАРТ-технологии (Доцент, к.н.), 0.1;57190093464;K-4636-2014
358;Савельев Илья Леонидович;Промышленная теплоэнергетика (Старший преподаватель), 1;57216808760;
359;Савостикова Оксана Геннадиевна;Стандартизация, метрология и сертификация (Старший преподаватель), 1;;AAY-1514-2021
360;Саенко Наталья Ряфиковна;Гуманитарные дисциплины (Профессор, д.н.), 1;57094013500;AAQ-5703-2020
361;Самойленко Ирина Сергеевна;Художественно-техническое оформление печатной продукции (Доцент, к.н.), 1;L-5759-2018;0000-0003-1584-3302
362;Самохин Вячеслав Николаевич;Математика (Профессор, д.н.), 0.5;6701633221;A-9176-2016
363;Сапожников Владимир Борисович;Техника низких температур имени П.Л.Капицы (Профессор, д.н.), 0.1;;AAD-2231-2022
364;Сапрыкин Борис Юрьевич;Обработка материалов давлением и аддитивные технологии (Старший преподаватель), 1;57240308100;AAG-9499-2020
365;Сарбаев Владимир Иванович;Наземные транспортные средства (Профессор, д.н.), 0.5;57192376248;
366;Саушкин Борис Петрович;Технологии и оборудование машиностроения (Профессор, д.н.), 0.1;57213152188;AAG-8600-2020
367;Сафонов Евгений Владимирович;Факультет машиностроения (Декан факультета, к.н.), 1;6602349960;H-1316-2017
368;Сафьянов Владимир Инокентьевич;Гуманитарные дисциплины (Профессор, д.н.), 0.25;57211852902;https://publons.com/publon/52631484/
369;Сбитнев Артем Геннадьевич;Материаловедение (Доцент, к.н.), 0.65;;ХКВ-2633-2023
370;Сборщиков Сергей Борисович;Промышленное и гражданское строительство (Профессор, д.н.), 0.25;57192377091;Q-6433-2017
371;Свиридова Евгения Юрьевна;Экологическая безопасность технических систем (Доцент, к.н.), 0.5;56909932200;
372;Селюков Александр Сергеевич;Математика (Доцент, к.н.), 0.5;55787344500;A-6261-2014
373;Семенова Валерия Валерьевна;Центр проектной деятельности (Доцент, к.н.), 1;;HHZ-0593-2022
374;Семёнкина Ирина Артуровна;Иностранные языки (Доцент, к.н.), 1;57211905448;
375;Сергеева Надежда Владиславовна;Центр проектной деятельности (Доцент, к.н.), 0.5;57220833292;
376;Сидельников Иван Иванович;Центр проектной деятельности (Доцент, к.н.), 0.25;36101840400;
377;Сидоров Игорь Геннадиевич;Прикладная информатика (Доцент, к.н.), 0.5;56721215400;ABC-9611-2020
378;Силин Владимир Сергеевич;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Доцент, к.н.), 0.25;10040624400;AAN-9294-2020
379;Скакова Татьяна Юрьевна;Материаловедение (Доцент, к.н.), 0.5;6507053848;AAN-7172-2020
380;Скворцов Аркадий Алексеевич;Динамика, прочность машин и сопротивление материалов (Заведующий кафедрой, д.н.), 1;57203018883;J-7606-2012
381;Скобелев Владимир Васильевич;Физика (Профессор, д.н.), 0.5;7003638943;AAG-9201-2020
382;Скопинцев Игорь Викторович;Процессы и аппараты химической технологии (Профессор, к.н.), 1;6508274783;G-7569-2016
383;Смирнов Сергей Вячеславович;Материаловедение (Доцент, к.н.), 0.2;;HJY-6436-2023
384;Соболь Татьяна Сергеевна;Центр проектной деятельности (Доцент, к.н.), 0.5;57220835593;AAD-7146-2021
385;Соколов Андрей Сергеевич;Факультет химической технологии и биотехнологии (Декан факультета, к.н.), 1;57197324298;AAH-3732-2020
386;Сонин Андрей Анатольевич;Физика (Профессор, д.н.), 0.25;57200863701;AAG-1596-2020
387;Союстова Светлана Игоревна;Физика (Доцент, к.н.), 0.5;37013707800;B-9462-2017
388;Спеваков Александр Геннадьевич;Информационная безопасность (Доцент, к.н.), 0.5;57215597061;GZN-0853-2022
389;Стрекалина Дарья Михайловна;Физика (Заведующий кафедрой, к.н.), 1;56545836100;AAV-1487-2021
390;Стрижеус Валерий Александрович;Центр проектной деятельности (Ассистент), 0.5;57220781734;
391;Строков Павел Игоревич;Центр проектной деятельности (Старший преподаватель), 0.75;8964500300;
392;Стуканова Ирина Петровна;Центр проектной деятельности (Профессор, д.н.), 1;57190857772;AAX-9830-2021
393;Стуканова Софья Сергеевна;Центр проектной деятельности (Профессор, д.н.), 1;57216922902;M-2471-2018
394;Суворов Станислав Вадимович;Прикладная информатика (Заведующий кафедрой, к.н.), 1;57224635836;AFR-6953-2022
395;Султанова Юлия Михайловна;Иностранные языки (Старший преподаватель), 1;"1791012104;57211269602";
396;Суслов Михаил Вадимович;Полиграфические системы (Заведующий кафедрой, к.н.), 1;57224438012;
397;Тамразова Илона Геннадьевна;Иностранные языки (Профессор, д.н.), 1;;18162374
398;Тарасова Ирина Альбертовна;ХимБиотех (Доцент, к.н.), 0.25;57913476500;HZM-0751-2023
399;Татусь Николай Алексеевич;Динамика, прочность машин и сопротивление материалов (Доцент, к.н.), 0.25;12039478400;AAI-2387-2020
400;Темерева Елена Николаевна;Экологическая безопасность технических систем (Заведующий кафедрой, д.н.), 0.5;6602376567;J-2814-2012
401;Темникова Ксения Николаевна;Инфокогнитивные технологии (Доцент, к.н.), 1;0000-0002-9645-7886;0000-0002-9645-7886
402;Тер-Ваганянц Юлия Суреновна;Материаловедение (Доцент, к.н.), 1;57807142900;AAB-8581-2022
403;Теренченко Алексей Станиславович;Энергоустановки для транспорта и малой энергетики (Профессор, к.н.), 0.25;6508188119;B-7182-2014
404;Тимохин Виктор Сергеевич;Промышленная теплоэнергетика (Доцент, к.н.), 1;;AAP-3636-2021
405;Типалин Сергей Александрович;Обработка материалов давлением и аддитивные технологии (Профессор, к.н.), 1;55990152000;AAF-2419-2020
406;Тихомиров Сергей Алексеевич;Промышленное и гражданское строительство (Доцент, к.н.), 0.5;56735946600;
407;Толстиков Антон Витальевич;СМАРТ-технологии (Доцент, к.н.), 1;8925386600;AAO-9036-2020
408;Третьяк Елена Борисовна;Художественно-техническое оформление печатной продукции (Заведующий кафедрой), 1;57222305678;ABE-2905-2020
409;Труб Наталья Васильевна;Математика (Старший преподаватель), 1;57216582504;AAA89502022
410;Трутнев Николай Степанович;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Доцент, к.н.), 1;14020923000;AAI-5322-2020
411;Тумин Валерий Максимович;Менеджмент (Профессор, д.н.), 0.75;55887585400;AAQ-3351-2020
412;Угольникова Мария Андреевна;Техника низких температур имени П.Л.Капицы (Доцент, к.н.), 0.75;57188689978;
413;Уразова Светлана Леонидовна;Журналистика и массовые коммуникации имени М.Ф. Ненашева (Профессор, д.н.), 0.2;;B-4016-2017
414;Усанова Ольга Юрьевна;Промышленная теплоэнергетика (Профессор, к.н.), 0.75;6507887721;AAG-8221-2020
415;Устинова Юлия Валерьевна;Промышленное и гражданское строительство (Доцент, к.н.), 1;56966712900;
416;Учеваткина Надежда Владимировна;Материаловедение (Доцент, к.н.), 0.1;57191708245;H-2438-2019
417;Ушков Андрей Николаевич;Автоматика и управление (Преподаватель), 0.2;57564574000;
418;Федоров Андрей Игоревич;Гуманитарные дисциплины (Доцент, к.н.), 0.5;;B-4740-2018
419;Федотов Александр Юрьевич;Материаловедение (Доцент, к.н.), 0.1;37261209500;
420;Филиппов Юлиан Кириллович;Обработка материалов давлением и аддитивные технологии (Профессор, д.н.), 0.25;57195219011;
421;Филиппович Андрей Юрьевич;Инфокогнитивные технологии (Профессор, к.н.), 1;56563149000;M-3427-2019
422;Филиппович Юрий Николаевич;Инфокогнитивные технологии (Профессор, к.н.), 1;56441750400;N-2462-2017
423;Филонов Андрей Игоревич;Наземные транспортные средства (Старший преподаватель), 0.75;56740504500;D-7566-2014
424;Филонова Анна Сергеевна;Реклама и связи с общественностью в медиаиндустрии (Доцент, к.н.), 1;;AAW-2806-2020
425;Фиронов Анатолий Михайлович;Наземные транспортные средства (Доцент, к.н.), 0.5;57212032544;AAP-6855-2021
426;Фокина Мария Сергеевна;Центр проектной деятельности (Доцент, к.н.), 1;36831476400;AAP-8363-2020
427;Фомин Валерий Михайлович;Энергоустановки для транспорта и малой энергетики (Профессор, д.н.), 0.65;7201683000;
428;Фомичёва Лилия Михайловна;Управление персоналом (Доцент, к.н.), 1;57216766005;GMX-5032-2022
429;Хламкова Светлана Сергеевна;Металлургия (Доцент, к.н.), 1;12041842700;AAB-9268-2022
430;Хомякова Наталия Вячеславовна;Техническая механика и компьютерное моделирование (Старший преподаватель), 0.25;57195423882;
431;Хромов Сергей Сергеевич;Русский язык и история литературы (Заведующий кафедрой, д.н.), 1;57205074608;A-6759-2017
432;Худайбердиева Гулшат;Информатика и информационные технологии (Ассистент), 1;58885873200;
433;Хуснутдинова Ляйля Гельсовна;Гуманитарные дисциплины (Доцент, к.н.), 1;56669804100;HNS-1919-2023
434;Ципенюк Дмитрий Юрьевич;Математика (Доцент, к.н.), 0.2;16025872400;E-7571-2015
435;Чвякин Владимир Алексеевич;Реклама и связи с общественностью в медиаиндустрии (Профессор, д.н.), 0.75;57208036539;AAG-9768-2020
436;Чекалова Елена Анатольевна;Технологии и оборудование машиностроения (Профессор, д.н.), 0.5;57195772966;AAH-1759-2020
437;Челышков Павел Дмитриевич;Промышленное и гражданское строительство (Профессор, д.н.), 0.25;55898871900;F-2207-2017
438;Черепанова Ирина Олеговна;Физическое воспитание (Доцент, к.н.), 1;57768344600;JDM-4172-2023
439;Черепахин Александр Александрович;Оборудование и технологии сварочного производства (Доцент, к.н.), 0.7;56345787600;
440;Черная Илона Витальевна;Технологии и управление качеством в полиграфическом и упаковочном производстве (Доцент, к.н.), 0.75;57217257111;AAH-9977-2021
441;Чернов Юрий Игоревич;Физическое воспитание (Доцент, к.н.), 1;58656612500;IQT-5329-2023
442;Чернова Вера Михайловна;Инфокогнитивные технологии (Старший преподаватель), 1;57814065700;ABG-2843-2022
443;Чернявская Варвара;Техника низких температур имени П.Л.Капицы (Ассистент), 0.25;57347478800;
444;Чеховская Оксана Евгеньевна;Гуманитарные дисциплины (Доцент, к.н.), 0.75;57562563200;ADH-3010-2022
445;Чирич Ирина Викторовна;Гуманитарные дисциплины (Доцент, к.н.), 0.5;57348209000;AED-9778-2022
446;Шадрин Сергей Сергеевич;Передовая инженерная школа электротранспорта Московского Политеха (Профессор, д.н.), 0.4;56358686500;J-3048-2014
447;Шадрина Наталья Николаевна;Математика (Доцент, к.н.), 0.5;47061974600;IUB-5051-2023
448;Шарипзянова Гюзель Харрясовна;;36107230000;AAB-9715-2022
449;Шаронов Михаил Александрович;Центр проектной деятельности (Доцент, к.н.), 0.1;57201722423;AAR-6873-2021
450;Шарян Эмма Грачовна;Реклама и связи с общественностью в медиаиндустрии (Доцент, к.н.), 0.25;57212375907;ABY-3669-2022
451;Шаталов Роман Львович;Обработка материалов давлением и аддитивные технологии (Профессор, д.н.), 0.5;6602161141;AFQ-8990-2022
452;Шатров Александр Федорович;Электрооборудование и промышленная электроника (Профессор, к.н.), 0.5;57226010625;
453;Швецов Алексей Владиславович;СМАРТ-технологии (Доцент, к.н.), 0.1;57192396079;R-2057-2019
454;Швецова Светлана Валерьевна;Центр проектной деятельности (Преподаватель), 0.1;57192391644;IQS-6648-2023
455;Шелыгов Александр Владимирович;Центр проектной деятельности (Доцент, к.н.), 1;57213608772;N-7139-2015
456;Шилова Зоя Вениаминовна;Математика (Доцент, к.н.), 0.5;57103529600;G-3073-2017
457;Шишков Александр Николаевич;Электрооборудование и промышленная электроника (Заведующий кафедрой, к.н.), 1;43861781400;A-4517-2014
458;Шкаленко Анна Викторовна;Сектор научной деятельности (Доцент, к.н.), 0.25;56275855600;N-7520-2016
459;Шманин Евгений Владимирович;Физика (Доцент, к.н.), 0.25;57188991751;AAE-4126-2022
460;Шматко Сергей Геннадьевич;Экономика и организация (Доцент, к.н.), 1;57188721666;GXZ-5250-2022
461;Шмелев Федор Юрьевич;Полиграфические системы (Старший преподаватель), 0.5;57224318530;AAD-6700-2022
462;Шпунькин Николай Фомич;Обработка материалов давлением и аддитивные технологии (Профессор, к.н.), 0.75;56208600800;AAF-9769-2020
463;Шульгин Александр Васильевич;Металлургия (Заведующий кафедрой, к.н.), 1;36876363200;N-8358-2015
464;Щегольков Алексей Викторович;Сектор научной деятельности (Доцент, к.н.), 0.25;58248982800;O-7748-2017
465;Щербаков Владимир Иванович;Динамика, прочность машин и сопротивление материалов (Доцент, к.н.), 0.5;55358974600;
466;Щербин Дмитрий Владимирович;Физическое воспитание (Доцент, к.н.), 1;57219902292;AHC-9927-2022
467;Югай Евгений Эдуардович;;1234;123
468;Юдин Сергей Николаевич;Сектор научной деятельности (Доцент, к.н.), 0.25;56323516600;GWZ-4487-2022
469;Юсупов Владимир Сабитович;Обработка материалов давлением и аддитивные технологии (Профессор, д.н.), 0.1;7003420220;E-2761-2014
470;Якутина Светлана Викторовна;Материаловедение (Доцент, к.н.), 0.5;57190488824;H-2486-2019 
