N;Name;Work;Scopus;Wos
56;Буздалина Ирина Александровна;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Старший преподаватель), 0.5;6504098746;AAC-9973-2022
57;Булатников Евгений Владиславович;Информатика и информационные технологии (Заведующий кафедрой, к.н.), 1;0000-0003-0228-8389;M-4570-2015
58;Бурцев Дмитрий Сергеевич;Машины и технологии литейного производства (Доцент, к.н.), 0.75;57406598500;
59;Бутакова Наталья Георгиевна;Информационная безопасность (Доцент, к.н.), 1;57202349640;AAH-4610-2020
60;Буянов Григорий Олегович;Автоматика и управление (Преподаватель), 0.17;57112678200;
61;Вагабов Махач Мустафаевич;Гуманитарные дисциплины (Профессор, д.н.), 0.75;;ABE-8346-2021
62;Вакку Григорий Владиславович;Центр проектной деятельности (Доцент, к.н.), 1;;ACB-1539-2022
63;Вальехо Мальдонадо Пабло Рамон;Энергоустановки для транспорта и малой энергетики (Доцент, к.н.), 0.2;57201582726;2997677
64;Ван Хааске Лейонис Аанрис;Центр проектной деятельности (Ассистент), 1;58819726600;JRX-4154-2023
65;Варламов Дмитрий Олегович;Электрооборудование и промышленная электроника (Старший преподаватель), 1;57208498910;
66;Вартанов Михаил Владимирович;Технологии и оборудование машиностроения (Профессор, д.н.), 0.8;6507594075;AAB-5460-2022
67;Васильев Виктор Андреевич;Стандартизация, метрология и сертификация (Профессор, д.н.), 0.3;57192588129;Q-6646-2016
68;Васильев Илья Юрьевич;Инновационные материалы принтмедиаиндустрии (Старший преподаватель), 0.9;57195569317;ABW-6525-2022
69;Васильева Наталья Владимировна;Математика (Доцент, к.н.), 0.5;7103080864;E-5934-2014
70;Ватутина Лариса Алексеевна;Менеджмент (Доцент, к.н.), 0.75;57219183082;AAG-7483-2020
71;Верещагин Владислав Юрьевич;Инфокогнитивные технологии (Доцент, к.н.), 1;57231845100;G-3817-2018
72;Верхов Евгений Юрьевич;Обработка материалов давлением и аддитивные технологии (Доцент, к.н.), 0.25;6504021025;N-3005-2015
73;Винокур Алексей Иосифович;Информатика и информационные технологии (Профессор, д.н.), 0.5;56609997000;N-1704-2015
74;Войтович Елена Валерьевна;;56300627600;HGB-1482-2022
75;Волгина Наталья Ивановна;Металлургия (Доцент, к.н.), 0.5;6507345619;ABF-7957-2020
76;Волкова Лариса Викторовна;Физика (Доцент, к.н.), 0.4;8968566100;C-1238-2018
77;Володина Елена Владимировна;Иностранные языки (Доцент, к.н.), 1;57219746562;
78;Володина Ольга Вячеславовна;Инфокогнитивные технологии (Преподаватель), 1;57985696100;CAA-4321-2022
79;Володько Сергей Сергеевич;Сектор научной деятельности (Доцент, к.н.), 0.25;57205224775;ABB-1403-2022
80;Волошинов Евгений Борисович;Физика (Доцент, к.н.), 0.25;57195553871;HLX-7003-2023
81;Вольнов Илья Николаевич;Машины и технологии литейного производства (Доцент, к.н.), 0.25;6508267059;H-8272-2017
82;Воробьев Никита Григорьевич;Инфокогнитивные технологии (Ассистент), 1;0000-0001-5995-7526;0000-0001-5995-7526
83;Ворожцов Александр Леонидович;Технологии и управление качеством в полиграфическом и упаковочном производстве (Доцент, к.н.), 0.75;;Conference Proceedings Scopus
84;Воронин Денис Михайлович;Центр проектной деятельности (Доцент, к.н.), 0.25;57205328151;AAJ-7106-2021
85;Воронин Станислав Сергеевич;Сектор научной деятельности (Доцент, к.н.), 0.25;57170088800;HHM-7325-2022
86;Вячеславова Ольга Федоровна;Стандартизация, метрология и сертификация (Профессор, д.н.), 1;6505705847;
87;Гаврилов Александр Игоревич;Инфокогнитивные технологии (Профессор, к.н.), 1;6763571400;ABD-5724-2022
88;Гаврюшин Сергей Сергеевич;Динамика, прочность машин и сопротивление материалов (Профессор, д.н.), 0.25;6507067486;
89;Гайдашева Ирина Игоревна;ХимБиотех (Доцент, к.н.), 1;57445637600;HGU-5428-2022
90;Гасияров Вадим Рашитович;Сектор научной деятельности (Доцент, к.н.), 0.25;56512224300;D-5003-2015
91;Герасимова Светлана Валентиновна;Русский язык и история литературы (Доцент, к.н.), 0.5;;AAY-2626-2020
92;Герценштейн Илья Шойлович;Полиграфические системы (Профессор, к.н.), 0.3;5.721.126.960.157.220.000.000;
93;Герцык Светлана Исааковна;Металлургия (Доцент, к.н.), 0.25;6603190402;W-1219-2017
94;Гилев Геннадий Андреевич;Физическое воспитание (Профессор, д.н.), 0.25;9003-5086;0000-0002-8906-1568
95;Глущенко Валерий Владимирович;СМАРТ-технологии (Профессор, д.н.), 0.25;0000-0003-1324-9326;746410
96;Гневашев Денис Александрович;Обработка материалов давлением и аддитивные технологии (Доцент, к.н.), 1;8909161800;ABC-7450-2022
97;Гневшев Александр Юрьевич;Информационная безопасность (Старший преподаватель), 1;;ACT-3344-2022
98;Гнибеда Артем Юрьевич;Инфокогнитивные технологии (Старший преподаватель), 1;57221200046;AAD-2081-2021
99;Говердовский Владимир Николаевич;Техническая механика и компьютерное моделирование (Профессор, д.н.), 0.5;0000-0002-8173-6188;CAJ-1678-2022
100;Годжаев Захид Адыгезал оглы;Наземные транспортные средства (Профессор, д.н.), 0.1;7;4
101;Годунов Евгений Борисович;ХимБиотех (Преподаватель), 1;51863638700;C-1092-2014
102;Голик Владимир Иванович;Металлургия (Профессор, д.н.), 0.1;497371;0000-0002-1181-8452
103;Голованов Иван Юрьевич;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Ассистент), 0.25;57221737343;HTS-5575-2023
104;Головин Игорь Станиславович;Обработка материалов давлением и аддитивные технологии (Профессор, д.н.), 0.1;7006821098;0000-0001-5557-2979
105;Головко Виталий Анатольевич;Физика (Профессор, д.н.), 0.5;7005977675;C-1247-2018
106;Горин Кирилл Викторович;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Доцент, к.н.), 0.1;56703363100;A-5406-2014
107;Горлевская Людмила Эдуардовна;Экономика и организация (Доцент, к.н.), 0.1;57202602713;GNM- 8081-2022
108;Горлова Ольга Евгеньевна;Реклама и связи с общественностью в медиаиндустрии (Старший преподаватель), 1;;AAA-9900-2021
109;Горшина Елена Сергеевна;ХимБиотех (Доцент, к.н.), 1;10045919600;AAP-6265-2021
110;Горшкова Лариса Олеговна;Технологии и управление качеством в полиграфическом и упаковочном производстве (Доцент, к.н.), 0.5;;N-4837-2015
