Author,WoS ID,WoS Article,Total Authors Count,Author Contribution,Workplaces Count
Артамонова Инна Викторовна,C-2007-2017,Features of Corrosive Breakdown of Pipe Steel in Gas Condensate,4,0.25,1
Баранова Елена Юрьевна,AAG-9649-2020,Effect of Raschig Ring Wall Thickness on Energy Consumption during Column Equipment Operation,4,0.25,1
Мошин Андрей Алексеевич,ACG-8971-2022,STUDY OF HYDROGEL MATERIALS THERMOPHYSICAL PROPERTIES,6,0.08,2
Соколов Андрей Сергеевич,AAH-3732-2020,Computer Simulation of the Hydrodynamics of a Centrifugal Cryogranulator,3,0.33,1
Соколов Андрей Сергеевич,AAH-3732-2020,Calculation of Flow Characteristics and Separation Coefficients of a Vortex Dust Collector of a New Design,4,0.25,1
Соколов Андрей Сергеевич,AAH-3732-2020,Effect of Raschig Ring Wall Thickness on Energy Consumption during Column Equipment Operation,4,0.25,1
