Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Апелинский Дмитрий Викторович,57209475391,Method for Converting the Energy Characteristics of Alternative Fuels,2,0.5,1
Косач Лев Анатольевич,57205459363,Heat Transfer Slot Matrix for Compact Rotary Heat Exchangers with Ultra-High Regeneration Ratio for Microturbines; [Matrice cu fantă și curea de transfer de căldură pentru schimbătoare de căldură rotative compacte cu o rată de regenerare ultra-înaltă pentru microturbine]; [Теплопередающая ленточно-щелевая матрица для компактных роторных теплообменников со сверхвысокой степенью регенерации для микротурбин],2,0.5,1
Пшонкин Данила Евгеньевич,57192077199,Effect of magnetic fields on the formation of the neck of a flat aluminum sample with inclusions during stretching,4,0.25,1
Пшонкин Данила Евгеньевич,57192077199,Metallization system as a part of thermal memory,4,0.25,1
Рыбакова Маргарита Рушановна,57197773520,"Retraction Note: Features of contact melting of semiconductors and their microstructures under thermal shock conditions (Applied Physics A, (2022), 128, 3, (242), 10.1007/s00339-022-05398-z)",4,0.25,1
Сарбаев Владимир Иванович,57192376248,"Ecological - economic factors of spare parts supply to car service centres, Republic of Cyprus",3,0.33,1
Сарбаев Владимир Иванович,57192376248,Spare parts inventory management at multi-brand car service enterprises,3,0.33,1
Сарбаев Владимир Иванович,57192376248,ESG concept as a tool for optimising spare parts stocks in car service centres in the Republic of Cyprus,2,0.5,1
Сарбаев Владимир Иванович,57192376248,Matching the output voltage level of the energy recovery device and the voltage of the on-board network,3,0.33,1
