Author,WoS ID,WoS Article
Давыдова Татьяна Тимофеевна,AGI-3527-2022,E. Zamyatin's novel We through the prism of biopoetics
Давыдова Татьяна Тимофеевна,AGI-3527-2022,Chinese scientist about V.S. Makanine
